Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
custom-baby-shower-shirt,Custom Baby Shower Shirt,"<p>A baby shower shirt that turns heads and tells your story. Custom-built around your names, colors, and theme - with meaning worked into every element, not pulled off a template. Printed on premium DTF for full-color, crack-resistant results.</p><p><em>Bold visuals that pop in photos, a message people read out loud, a design you feel proud to wear.</em></p>",Color Create Studio,,Custom Design Service,"shirt, apparel, baby shower, custom, dtf, Custom Celebration Design, Custom Design Service",FALSE,Format,Design File Only,,,,,CUSTOMBABYSHOW-01,0,,,continue,manual,35.00,,FALSE,TRUE,,,,,FALSE,Custom Baby Shower Shirt | Color Create Studio,,draft
custom-baby-shower-shirt,,,,,,,FALSE,Format,Print + Ship,,,,,CUSTOMBABYSHOW-02,200,,,continue,manual,60.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-couple-matching-family-shirt,Custom Couple / Matching Family Shirt,"<p>A matching shirt that turns heads and tells your story. Custom-built around your names, colors, and theme - with meaning worked into every element, not pulled off a template. Printed on premium DTF for full-color, crack-resistant results.</p><p><em>Bold visuals that pop in photos, a message people read out loud, a design you feel proud to wear.</em></p>",Color Create Studio,,Custom Design Service,"shirt, apparel, matching, custom, dtf, Custom Celebration Design, Custom Design Service",FALSE,Format,Design File Only,,,,,CUSTOMCOUPLEMA-01,0,,,continue,manual,35.00,,FALSE,TRUE,,,,,FALSE,Custom Couple / Matching Family Shirt | Color Create Studio,,draft
custom-couple-matching-family-shirt,,,,,,,FALSE,Format,Print + Ship,,,,,CUSTOMCOUPLEMA-02,200,,,continue,manual,60.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-business-promo-shirt,Custom Business Promo Shirt,"<p>A business shirt that turns heads and tells your story. Custom-built around your names, colors, and theme - with meaning worked into every element, not pulled off a template. Printed on premium DTF for full-color, crack-resistant results.</p><p><em>Bold visuals that pop in photos, a message people read out loud, a design you feel proud to wear.</em></p>",Color Create Studio,,Custom Design Service,"shirt, apparel, business, custom, dtf, Custom Celebration Design, Custom Design Service",FALSE,Format,Design File Only,,,,,CUSTOMBUSINESS-01,0,,,continue,manual,35.00,,FALSE,TRUE,,,,,FALSE,Custom Business Promo Shirt | Color Create Studio,,draft
custom-business-promo-shirt,,,,,,,FALSE,Format,Print + Ship,,,,,CUSTOMBUSINESS-02,200,,,continue,manual,60.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-event-merch-shirt,Custom Event Merch Shirt,"<p>A event merch shirt that turns heads and tells your story. Custom-built around your names, colors, and theme - with meaning worked into every element, not pulled off a template. Printed on premium DTF for full-color, crack-resistant results.</p><p><em>Bold visuals that pop in photos, a message people read out loud, a design you feel proud to wear.</em></p>",Color Create Studio,,Custom Design Service,"shirt, apparel, event merch, custom, dtf, Custom Celebration Design, Custom Design Service",FALSE,Format,Design File Only,,,,,CUSTOMEVENTMER-01,0,,,continue,manual,35.00,,FALSE,TRUE,,,,,FALSE,Custom Event Merch Shirt | Color Create Studio,,draft
custom-event-merch-shirt,,,,,,,FALSE,Format,Print + Ship,,,,,CUSTOMEVENTMER-02,200,,,continue,manual,60.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-group-trip-shirt,Custom Group Trip Shirt,"<p>A group trip shirt that turns heads and tells your story. Custom-built around your names, colors, and theme - with meaning worked into every element, not pulled off a template. Printed on premium DTF for full-color, crack-resistant results.</p><p><em>Bold visuals that pop in photos, a message people read out loud, a design you feel proud to wear.</em></p>",Color Create Studio,,Custom Design Service,"shirt, apparel, group trip, custom, dtf, Custom Celebration Design, Custom Design Service",FALSE,Format,Design File Only,,,,,CUSTOMGROUPTRI-01,0,,,continue,manual,35.00,,FALSE,TRUE,,,,,FALSE,Custom Group Trip Shirt | Color Create Studio,,draft
custom-group-trip-shirt,,,,,,,FALSE,Format,Print + Ship,,,,,CUSTOMGROUPTRI-02,200,,,continue,manual,60.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-kids-birthday-shirt,Custom Kids Birthday Shirt,"<p>A kids birthday shirt that turns heads and tells your story. Custom-built around your names, colors, and theme - with meaning worked into every element, not pulled off a template. Printed on premium DTF for full-color, crack-resistant results.</p><p><em>Bold visuals that pop in photos, a message people read out loud, a design you feel proud to wear.</em></p>",Color Create Studio,,Custom Design Service,"shirt, apparel, kids birthday, custom, dtf, Custom Celebration Design, Custom Design Service",FALSE,Format,Design File Only,,,,,CUSTOMKIDSBIRT-01,0,,,continue,manual,35.00,,FALSE,TRUE,,,,,FALSE,Custom Kids Birthday Shirt | Color Create Studio,,draft
custom-kids-birthday-shirt,,,,,,,FALSE,Format,Print + Ship,,,,,CUSTOMKIDSBIRT-02,200,,,continue,manual,60.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-cancer-survivor-shirt,Custom Cancer Survivor Celebration Shirt,"<p>A survivor shirt that turns heads and tells your story. Custom-built around your names, colors, and theme - with meaning worked into every element, not pulled off a template. Printed on premium DTF for full-color, crack-resistant results.</p><p><em>Bold visuals that pop in photos, a message people read out loud, a design you feel proud to wear.</em></p>",Color Create Studio,,Custom Design Service,"shirt, apparel, survivor, custom, dtf, Custom Celebration Design, Custom Design Service",FALSE,Format,Design File Only,,,,,CUSTOMCANCERSU-01,0,,,continue,manual,35.00,,FALSE,TRUE,,,,,FALSE,Custom Cancer Survivor Celebration Shirt | Color Create Studio,,draft
custom-cancer-survivor-shirt,,,,,,,FALSE,Format,Print + Ship,,,,,CUSTOMCANCERSU-02,200,,,continue,manual,60.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-photo-collage-shirt,Custom Photo Collage Shirt,"<p>A photo collage shirt that turns heads and tells your story. Custom-built around your names, colors, and theme - with meaning worked into every element, not pulled off a template. Printed on premium DTF for full-color, crack-resistant results.</p><p><em>Bold visuals that pop in photos, a message people read out loud, a design you feel proud to wear.</em></p>",Color Create Studio,,Custom Design Service,"shirt, apparel, photo collage, custom, dtf, Custom Celebration Design, Custom Design Service",FALSE,Format,Design File Only,,,,,CUSTOMPHOTOCOL-01,0,,,continue,manual,35.00,,FALSE,TRUE,,,,,FALSE,Custom Photo Collage Shirt | Color Create Studio,,draft
custom-photo-collage-shirt,,,,,,,FALSE,Format,Print + Ship,,,,,CUSTOMPHOTOCOL-02,200,,,continue,manual,60.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-shirt-file-format,Custom DTF / Transfer-Ready Shirt File,"<p>Production-ready shirt artwork built to press. Get a full-color DTF/transfer-ready file - color-corrected and sized to go straight to production - or a layered vinyl-ready cut file. DTF is our go-to for vivid, durable, full-color prints.</p><p><em>Crisp edges your eyes love, a clean transfer you can feel, zero guesswork at the press.</em></p>",Color Create Studio,,Print-Ready File,"shirt, dtf, vinyl, transfer, file, Custom Celebration Design, Print-Ready File",FALSE,File Type,DTF / Full-Color Transfer File,,,,,CUSTOMSHIRTFIL-01,0,,,continue,manual,38.00,,FALSE,TRUE,,,,,FALSE,Custom DTF / Transfer-Ready Shirt File | Color Create Studio,,draft
custom-shirt-file-format,,,,,,,FALSE,File Type,Vinyl-Ready Cut File,,,,,CUSTOMSHIRTFIL-02,0,,,continue,manual,38.00,,FALSE,TRUE,,,,,FALSE,,,draft
custom-apparel-design-consultation,Custom Apparel Design Consultation,"<p>Not sure where to start? Book a focused session and we map your concept, colors, placement, and production plan before a single pixel is drawn.</p>",Color Create Studio,,Consultation,"consultation, apparel, strategy, Custom Celebration Design, Consultation",FALSE,Session,30 Minutes,,,,,CUSTOMAPPARELD-01,0,,,continue,manual,65.00,,FALSE,TRUE,,,,,FALSE,Custom Apparel Design Consultation | Color Create Studio,,draft
custom-invitation-design,Custom Invitation Design,"<p>A first impression people screenshot. A custom invite designed around your theme, colors, and wording.</p><p><em>Vivid color that reads across the room, wording that sounds great out loud, details guests reach out to touch.</em></p>",Color Create Studio,,Custom Design Service,"event, graphics, invitation, custom, Custom Event Graphics, Custom Design Service",FALSE,Service Level,Studio Template Edit - Digital (24-hr),,,,,CUSTOMINVITATI-01,0,,,continue,manual,22.00,,FALSE,TRUE,,,,,FALSE,Custom Invitation Design | Color Create Studio,,draft
custom-invitation-design,,,,,,,FALSE,Service Level,Bespoke Custom Design - Digital,,,,,CUSTOMINVITATI-02,0,,,continue,manual,45.00,,FALSE,TRUE,,,,,FALSE,,,draft
custom-invitation-design,,,,,,,FALSE,Service Level,Bespoke Custom Design - Print + Ship,,,,,CUSTOMINVITATI-03,150,,,continue,manual,62.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-birthday-invitation,Custom Birthday Invitation,"<p>Set the whole vibe before the party starts with a birthday invite that matches your theme perfectly.</p><p><em>Vivid color that reads across the room, wording that sounds great out loud, details guests reach out to touch.</em></p>",Color Create Studio,,Custom Design Service,"event, graphics, birthday invitation, custom, Custom Event Graphics, Custom Design Service",FALSE,Service Level,Studio Template Edit - Digital (24-hr),,,,,CUSTOMBIRTHDAY-01X,0,,,continue,manual,22.00,,FALSE,TRUE,,,,,FALSE,Custom Birthday Invitation | Color Create Studio,,draft
custom-birthday-invitation,,,,,,,FALSE,Service Level,Bespoke Custom Design - Digital,,,,,CUSTOMBIRTHDAY-02X,0,,,continue,manual,45.00,,FALSE,TRUE,,,,,FALSE,,,draft
custom-birthday-invitation,,,,,,,FALSE,Service Level,Bespoke Custom Design - Print + Ship,,,,,CUSTOMBIRTHDAY-03,150,,,continue,manual,62.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-baby-shower-invitation,Custom Baby Shower Invitation,"<p>Soft, sweet, and unmistakably yours - a baby shower invite that feels like a warm hug.</p><p><em>Vivid color that reads across the room, wording that sounds great out loud, details guests reach out to touch.</em></p>",Color Create Studio,,Custom Design Service,"event, graphics, baby shower invitation, custom, Custom Event Graphics, Custom Design Service",FALSE,Service Level,Studio Template Edit - Digital (24-hr),,,,,CUSTOMBABYSHOW-01X,0,,,continue,manual,22.00,,FALSE,TRUE,,,,,FALSE,Custom Baby Shower Invitation | Color Create Studio,,draft
custom-baby-shower-invitation,,,,,,,FALSE,Service Level,Bespoke Custom Design - Digital,,,,,CUSTOMBABYSHOW-02X,0,,,continue,manual,45.00,,FALSE,TRUE,,,,,FALSE,,,draft
custom-baby-shower-invitation,,,,,,,FALSE,Service Level,Bespoke Custom Design - Print + Ship,,,,,CUSTOMBABYSHOW-03,150,,,continue,manual,62.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-graduation-invitation,Custom Graduation Invitation,"<p>Celebrate the milestone in style with a polished, photo-ready graduation invite.</p><p><em>Vivid color that reads across the room, wording that sounds great out loud, details guests reach out to touch.</em></p>",Color Create Studio,,Custom Design Service,"event, graphics, graduation invitation, custom, Custom Event Graphics, Custom Design Service",FALSE,Service Level,Studio Template Edit - Digital (24-hr),,,,,CUSTOMGRADUATI-01X,0,,,continue,manual,22.00,,FALSE,TRUE,,,,,FALSE,Custom Graduation Invitation | Color Create Studio,,draft
custom-graduation-invitation,,,,,,,FALSE,Service Level,Bespoke Custom Design - Digital,,,,,CUSTOMGRADUATI-02X,0,,,continue,manual,45.00,,FALSE,TRUE,,,,,FALSE,,,draft
custom-graduation-invitation,,,,,,,FALSE,Service Level,Bespoke Custom Design - Print + Ship,,,,,CUSTOMGRADUATI-03,150,,,continue,manual,62.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-memorial-invitation,Custom Memorial / Celebration of Life Invitation,"<p>A graceful, dignified invitation that honors a life with warmth and respect.</p><p><em>Vivid color that reads across the room, wording that sounds great out loud, details guests reach out to touch.</em></p>",Color Create Studio,,Custom Design Service,"event, graphics, memorial invitation, custom, Custom Event Graphics, Custom Design Service",FALSE,Service Level,Studio Template Edit - Digital (24-hr),,,,,CUSTOMMEMORIAL-01X,0,,,continue,manual,22.00,,FALSE,TRUE,,,,,FALSE,Custom Memorial / Celebration of Life Invitation | Color Create Studio,,draft
custom-memorial-invitation,,,,,,,FALSE,Service Level,Bespoke Custom Design - Digital,,,,,CUSTOMMEMORIAL-02X,0,,,continue,manual,45.00,,FALSE,TRUE,,,,,FALSE,,,draft
custom-memorial-invitation,,,,,,,FALSE,Service Level,Bespoke Custom Design - Print + Ship,,,,,CUSTOMMEMORIAL-03,150,,,continue,manual,62.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-digital-party-flyer,Custom Digital Party Flyer,"<p>A scroll-stopping flyer built to share, save, and fill your guest list.</p><p><em>Vivid color that reads across the room, wording that sounds great out loud, details guests reach out to touch.</em></p>",Color Create Studio,,Custom Design Service,"event, graphics, party flyer, custom, Custom Event Graphics, Custom Design Service",FALSE,Service Level,Studio Template Edit - Digital (24-hr),,,,,CUSTOMDIGITALP-01,0,,,continue,manual,22.00,,FALSE,TRUE,,,,,FALSE,Custom Digital Party Flyer | Color Create Studio,,draft
custom-digital-party-flyer,,,,,,,FALSE,Service Level,Bespoke Custom Design - Digital,,,,,CUSTOMDIGITALP-02,0,,,continue,manual,45.00,,FALSE,TRUE,,,,,FALSE,,,draft
custom-digital-party-flyer,,,,,,,FALSE,Service Level,Bespoke Custom Design - Print + Ship,,,,,CUSTOMDIGITALP-03,150,,,continue,manual,62.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-business-event-flyer,Custom Business Event Flyer,"<p>Promote your event like a pro with a flyer that looks expensive and converts.</p><p><em>Vivid color that reads across the room, wording that sounds great out loud, details guests reach out to touch.</em></p>",Color Create Studio,,Custom Design Service,"event, graphics, business flyer, custom, Custom Event Graphics, Custom Design Service",FALSE,Service Level,Studio Template Edit - Digital (24-hr),,,,,CUSTOMBUSINESS-01X,0,,,continue,manual,22.00,,FALSE,TRUE,,,,,FALSE,Custom Business Event Flyer | Color Create Studio,,draft
custom-business-event-flyer,,,,,,,FALSE,Service Level,Bespoke Custom Design - Digital,,,,,CUSTOMBUSINESS-02X,0,,,continue,manual,45.00,,FALSE,TRUE,,,,,FALSE,,,draft
custom-business-event-flyer,,,,,,,FALSE,Service Level,Bespoke Custom Design - Print + Ship,,,,,CUSTOMBUSINESS-03,150,,,continue,manual,62.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-social-event-announcement,Custom Social Media Event Announcement,"<p>A platform-ready announcement graphic sized for the feed and built to drive RSVPs.</p><p><em>Vivid color that reads across the room, wording that sounds great out loud, details guests reach out to touch.</em></p>",Color Create Studio,,Custom Design Service,"event, graphics, social announcement, custom, Custom Event Graphics, Custom Design Service",FALSE,Service Level,Studio Template Edit - Digital (24-hr),,,,,CUSTOMSOCIALEV-01,0,,,continue,manual,22.00,,FALSE,TRUE,,,,,FALSE,Custom Social Media Event Announcement | Color Create Studio,,draft
custom-social-event-announcement,,,,,,,FALSE,Service Level,Bespoke Custom Design - Digital,,,,,CUSTOMSOCIALEV-02,0,,,continue,manual,45.00,,FALSE,TRUE,,,,,FALSE,,,draft
custom-social-event-announcement,,,,,,,FALSE,Service Level,Bespoke Custom Design - Print + Ship,,,,,CUSTOMSOCIALEV-03,150,,,continue,manual,62.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-welcome-sign,Custom Welcome Sign Design,"<p>Greet every guest with a statement welcome sign that anchors your decor.</p><p><em>Vivid color that reads across the room, wording that sounds great out loud, details guests reach out to touch.</em></p>",Color Create Studio,,Custom Design Service,"event, graphics, welcome sign, custom, Custom Event Graphics, Custom Design Service",FALSE,Service Level,Studio Template Edit - Digital (24-hr),,,,,CUSTOMWELCOMES-01,0,,,continue,manual,22.00,,FALSE,TRUE,,,,,FALSE,Custom Welcome Sign Design | Color Create Studio,,draft
custom-welcome-sign,,,,,,,FALSE,Service Level,Bespoke Custom Design - Digital,,,,,CUSTOMWELCOMES-02,0,,,continue,manual,45.00,,FALSE,TRUE,,,,,FALSE,,,draft
custom-welcome-sign,,,,,,,FALSE,Service Level,Bespoke Custom Design - Print + Ship,,,,,CUSTOMWELCOMES-03,150,,,continue,manual,62.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-table-sign,Custom Table Sign Design,"<p>Tie the tablescape together with coordinated signage.</p><p><em>Vivid color that reads across the room, wording that sounds great out loud, details guests reach out to touch.</em></p>",Color Create Studio,,Custom Design Service,"event, graphics, table sign, custom, Custom Event Graphics, Custom Design Service",FALSE,Service Level,Studio Template Edit - Digital (24-hr),,,,,CUSTOMTABLESIG-01,0,,,continue,manual,22.00,,FALSE,TRUE,,,,,FALSE,Custom Table Sign Design | Color Create Studio,,draft
custom-table-sign,,,,,,,FALSE,Service Level,Bespoke Custom Design - Digital,,,,,CUSTOMTABLESIG-02,0,,,continue,manual,45.00,,FALSE,TRUE,,,,,FALSE,,,draft
custom-table-sign,,,,,,,FALSE,Service Level,Bespoke Custom Design - Print + Ship,,,,,CUSTOMTABLESIG-03,150,,,continue,manual,62.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-menu-card,Custom Menu Card Design,"<p>Elevated menu cards that make the spread feel like an event.</p><p><em>Vivid color that reads across the room, wording that sounds great out loud, details guests reach out to touch.</em></p>",Color Create Studio,,Custom Design Service,"event, graphics, menu card, custom, Custom Event Graphics, Custom Design Service",FALSE,Service Level,Studio Template Edit - Digital (24-hr),,,,,CUSTOMMENUCARD-01,0,,,continue,manual,22.00,,FALSE,TRUE,,,,,FALSE,Custom Menu Card Design | Color Create Studio,,draft
custom-menu-card,,,,,,,FALSE,Service Level,Bespoke Custom Design - Digital,,,,,CUSTOMMENUCARD-02,0,,,continue,manual,45.00,,FALSE,TRUE,,,,,FALSE,,,draft
custom-menu-card,,,,,,,FALSE,Service Level,Bespoke Custom Design - Print + Ship,,,,,CUSTOMMENUCARD-03,150,,,continue,manual,62.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-thank-you-card-event,Custom Thank-You Card Design,"<p>Send guests home remembered with a matching thank-you card.</p><p><em>Vivid color that reads across the room, wording that sounds great out loud, details guests reach out to touch.</em></p>",Color Create Studio,,Custom Design Service,"event, graphics, thank you card, custom, Custom Event Graphics, Custom Design Service",FALSE,Service Level,Studio Template Edit - Digital (24-hr),,,,,CUSTOMTHANKYOU-01,0,,,continue,manual,22.00,,FALSE,TRUE,,,,,FALSE,Custom Thank-You Card Design | Color Create Studio,,draft
custom-thank-you-card-event,,,,,,,FALSE,Service Level,Bespoke Custom Design - Digital,,,,,CUSTOMTHANKYOU-02,0,,,continue,manual,45.00,,FALSE,TRUE,,,,,FALSE,,,draft
custom-thank-you-card-event,,,,,,,FALSE,Service Level,Bespoke Custom Design - Print + Ship,,,,,CUSTOMTHANKYOU-03,150,,,continue,manual,62.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-itinerary-card,Custom Itinerary Card Design,"<p>Keep the day flowing with a beautiful at-a-glance itinerary.</p><p><em>Vivid color that reads across the room, wording that sounds great out loud, details guests reach out to touch.</em></p>",Color Create Studio,,Custom Design Service,"event, graphics, itinerary, custom, Custom Event Graphics, Custom Design Service",FALSE,Service Level,Studio Template Edit - Digital (24-hr),,,,,CUSTOMITINERAR-01,0,,,continue,manual,22.00,,FALSE,TRUE,,,,,FALSE,Custom Itinerary Card Design | Color Create Studio,,draft
custom-itinerary-card,,,,,,,FALSE,Service Level,Bespoke Custom Design - Digital,,,,,CUSTOMITINERAR-02,0,,,continue,manual,45.00,,FALSE,TRUE,,,,,FALSE,,,draft
custom-itinerary-card,,,,,,,FALSE,Service Level,Bespoke Custom Design - Print + Ship,,,,,CUSTOMITINERAR-03,150,,,continue,manual,62.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-party-game-card,Custom Party Game Card Design,"<p>Custom game cards that get the whole room laughing and playing.</p><p><em>Vivid color that reads across the room, wording that sounds great out loud, details guests reach out to touch.</em></p>",Color Create Studio,,Custom Design Service,"event, graphics, party game, custom, Custom Event Graphics, Custom Design Service",FALSE,Service Level,Studio Template Edit - Digital (24-hr),,,,,CUSTOMPARTYGAM-01,0,,,continue,manual,22.00,,FALSE,TRUE,,,,,FALSE,Custom Party Game Card Design | Color Create Studio,,draft
custom-party-game-card,,,,,,,FALSE,Service Level,Bespoke Custom Design - Digital,,,,,CUSTOMPARTYGAM-02,0,,,continue,manual,45.00,,FALSE,TRUE,,,,,FALSE,,,draft
custom-party-game-card,,,,,,,FALSE,Service Level,Bespoke Custom Design - Print + Ship,,,,,CUSTOMPARTYGAM-03,150,,,continue,manual,62.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-milestone-board,Custom Milestone Board Design,"<p>A keepsake board that tells the story from day one to today.</p><p><em>Vivid color that reads across the room, wording that sounds great out loud, details guests reach out to touch.</em></p>",Color Create Studio,,Custom Design Service,"event, graphics, milestone board, custom, Custom Event Graphics, Custom Design Service",FALSE,Service Level,Studio Template Edit - Digital (24-hr),,,,,CUSTOMMILESTON-01,0,,,continue,manual,22.00,,FALSE,TRUE,,,,,FALSE,Custom Milestone Board Design | Color Create Studio,,draft
custom-milestone-board,,,,,,,FALSE,Service Level,Bespoke Custom Design - Digital,,,,,CUSTOMMILESTON-02,0,,,continue,manual,45.00,,FALSE,TRUE,,,,,FALSE,,,draft
custom-milestone-board,,,,,,,FALSE,Service Level,Bespoke Custom Design - Print + Ship,,,,,CUSTOMMILESTON-03,150,,,continue,manual,62.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-birthday-board,Custom Birthday Board Design,"<p>A statement birthday board built for the photo wall.</p><p><em>Vivid color that reads across the room, wording that sounds great out loud, details guests reach out to touch.</em></p>",Color Create Studio,,Custom Design Service,"event, graphics, birthday board, custom, Custom Event Graphics, Custom Design Service",FALSE,Service Level,Studio Template Edit - Digital (24-hr),,,,,CUSTOMBIRTHDAY-01XX,0,,,continue,manual,22.00,,FALSE,TRUE,,,,,FALSE,Custom Birthday Board Design | Color Create Studio,,draft
custom-birthday-board,,,,,,,FALSE,Service Level,Bespoke Custom Design - Digital,,,,,CUSTOMBIRTHDAY-02XX,0,,,continue,manual,45.00,,FALSE,TRUE,,,,,FALSE,,,draft
custom-birthday-board,,,,,,,FALSE,Service Level,Bespoke Custom Design - Print + Ship,,,,,CUSTOMBIRTHDAY-03X,150,,,continue,manual,62.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-graduation-board,Custom Graduation Board Design,"<p>Showcase the journey with a proud, photo-ready graduation board.</p><p><em>Vivid color that reads across the room, wording that sounds great out loud, details guests reach out to touch.</em></p>",Color Create Studio,,Custom Design Service,"event, graphics, graduation board, custom, Custom Event Graphics, Custom Design Service",FALSE,Service Level,Studio Template Edit - Digital (24-hr),,,,,CUSTOMGRADUATI-01XX,0,,,continue,manual,22.00,,FALSE,TRUE,,,,,FALSE,Custom Graduation Board Design | Color Create Studio,,draft
custom-graduation-board,,,,,,,FALSE,Service Level,Bespoke Custom Design - Digital,,,,,CUSTOMGRADUATI-02XX,0,,,continue,manual,45.00,,FALSE,TRUE,,,,,FALSE,,,draft
custom-graduation-board,,,,,,,FALSE,Service Level,Bespoke Custom Design - Print + Ship,,,,,CUSTOMGRADUATI-03X,150,,,continue,manual,62.00,,TRUE,TRUE,,,,,FALSE,,,draft
